# HCP-VS limbic striatum subject-level connectivity values
# Created: 2026-06-03
#
# This file contains HCP Subject IDs and derived hippocampus-ventral striatum (HPC-VS) limbic striatum connectivity values only.
# Connectivity columns correspond to the source variables limbic_Left and limbic_Right from averaged_data.sav.
# No HCP behavioral, demographic, diagnostic, alcohol-use, or other questionnaire variables are included in this file.
# Those HCP measures must be obtained through the Human Connectome Project/ConnectomeDB under the appropriate data-use terms.
# Open-access HCP data require ConnectomeDB registration and acceptance of the Open Access Data Use Terms.
# Restricted HCP data elements require a separate Restricted Data application; each investigator who will view/use restricted data must apply, and approval is case-by-case.
# ConnectomeDB: https://db.humanconnectome.org
# HCP Young Adult Data Use Terms and Restricted Data application links: https://www.humanconnectome.org/study/hcp-young-adult/data-use-terms
# Restricted Data Usage overview: https://www.humanconnectome.org/study/hcp-young-adult/document/restricted-data-usage
#
# N subjects with complete left/right HPC-VS limbic striatum values: 626
#
Subject	HPC_VS_limbic_striatum_left	HPC_VS_limbic_striatum_right
339847	0.259079333333333	0.453107333333333
346137	0.309447333333333	0.331335333333333
346945	0.346255	0.433519
351938	0.348185	0.345279333333333
352132	0.336163666666667	0.411717666666667
353740	0.564397	0.450793666666667
358144	0.374930333333333	0.389910333333333
361234	0.355167333333333	0.326517666666667
365343	0.272268	0.512691
366042	0.479706333333333	0.415394
366446	0.346851	0.277858
371843	0.232291	0.317874666666667
379657	0.552047666666667	0.371309
380036	0.347410666666667	0.458444666666667
381038	0.388383666666667	0.288691
381543	0.317632	0.315053666666667
386250	0.408087333333333	0.467344666666667
387959	0.49944	0.378569
389357	0.189634666666667	0.442956666666667
390645	0.344484333333333	0.378440333333333
391748	0.376673333333333	0.262874666666667
393247	0.380145	0.402799
393550	0.375621666666667	0.441828333333333
395251	0.359426666666667	0.342513666666667
395756	0.367991666666667	0.370171
395958	0.464610333333333	0.516076333333333
397154	0.511172666666667	0.516035
397760	0.323818	0.373649666666667
397861	0.275514	0.429274333333333
406836	0.332541	0.400054333333333
412528	0.387308	0.529466
414229	0.438774666666667	0.476414666666667
415837	0.368697666666667	0.336580333333333
422632	0.508864333333333	0.373897666666667
429040	0.278393666666667	0.383080333333333
432332	0.449799	0.329253333333333
433839	0.478451333333333	0.49039
436239	0.224042	0.374882666666667
436845	0.463063666666667	0.42538
441939	0.478831333333333	0.590077666666667
445543	0.261348666666667	0.416441333333333
453441	0.506640333333333	0.373645333333333
459453	0.234951333333333	0.382952
467351	0.269268	0.282227
473952	0.373601666666667	0.444819
479762	0.366818666666667	0.423081
481951	0.320387666666667	0.314925333333333
485757	0.280021666666667	0.268636
486759	0.372275	0.326570666666667
492754	0.332991333333333	0.356654
495255	0.215195666666667	0.428580666666667
497865	0.205466	0.519753
499566	0.474102333333333	0.36742
500222	0.412555666666667	0.244669
