model,row_id,Subject,deleted_position,term,dfbetas,abs_dfbetas
right_interaction,373,188347,27,c_right_hpc_vs,-0.002620588963290852,0.002620588963290852
right_interaction,373,188347,27,Sex1,-0.00274538406687136,0.00274538406687136
right_interaction,373,188347,27,c_right_hpc_vs:Sex1,-0.006104207832160973,0.006104207832160973
right_interaction,375,744553,28,c_ICV,0.021902501901870593,0.021902501901870593
right_interaction,375,744553,28,c_right_hpc_vs,0.08617724269191737,0.08617724269191737
right_interaction,375,744553,28,Sex1,-0.04404270753272202,0.04404270753272202
right_interaction,375,744553,28,c_right_hpc_vs:Sex1,0.09636775657990787,0.09636775657990787
right_interaction,376,771354,29,c_ICV,9.824067684837809e-4,9.824067684837809e-4
right_interaction,376,771354,29,c_right_hpc_vs,-0.019565227795028714,0.019565227795028714
right_interaction,376,771354,29,Sex1,-0.026234743868112902,0.026234743868112902
right_interaction,376,771354,29,c_right_hpc_vs:Sex1,-0.024171894520002193,0.024171894520002193
right_interaction,377,214019,30,c_ICV,-0.011204011858788018,0.011204011858788018
right_interaction,377,214019,30,c_right_hpc_vs,-0.011096507873789822,0.011096507873789822
right_interaction,377,214019,30,Sex1,0.01690698681974764,0.01690698681974764
right_interaction,377,214019,30,c_right_hpc_vs:Sex1,-0.010874226410766276,0.010874226410766276
right_interaction,378,371843,31,c_ICV,0.024020701205116523,0.024020701205116523
right_interaction,378,371843,31,c_right_hpc_vs,-0.034772275067687514,0.034772275067687514
right_interaction,378,371843,31,Sex1,0.038756983032899685,0.038756983032899685
right_interaction,378,371843,31,c_right_hpc_vs:Sex1,-0.031945761519009935,0.031945761519009935
right_interaction,379,167036,32,c_ICV,-0.005581760943344241,0.005581760943344241
right_interaction,379,167036,32,c_right_hpc_vs,-0.04251030342543648,0.04251030342543648
right_interaction,379,167036,32,Sex1,0.018249660918038847,0.018249660918038847
right_interaction,379,167036,32,c_right_hpc_vs:Sex1,-0.042093984543592075,0.042093984543592075
right_interaction,381,459453,33,c_ICV,-0.03646978123769927,0.03646978123769927
right_interaction,381,459453,33,c_right_hpc_vs,-0.0016566948121254084,0.0016566948121254084
right_interaction,381,459453,33,Sex1,6.875301037122647e-4,6.875301037122647e-4
right_interaction,381,459453,33,c_right_hpc_vs:Sex1,-0.00335211743535373,0.00335211743535373
right_interaction,382,212419,34,c_ICV,0.036457589500576655,0.036457589500576655
right_interaction,382,212419,34,c_right_hpc_vs,-0.06354154042253932,0.06354154042253932
right_interaction,382,212419,34,Sex1,0.04502129429640876,0.04502129429640876
right_interaction,382,212419,34,c_right_hpc_vs:Sex1,-0.05994655527929226,0.05994655527929226
right_interaction,383,927359,35,c_ICV,-0.002806287437840969,0.002806287437840969
right_interaction,383,927359,35,c_right_hpc_vs,0.01627894321480536,0.01627894321480536
right_interaction,383,927359,35,Sex1,0.014655819149011796,0.014655819149011796
right_interaction,383,927359,35,c_right_hpc_vs:Sex1,-0.017533530000685242,0.017533530000685242
right_interaction,384,568963,36,c_ICV,0.04735686378666321,0.04735686378666321
