model,row_id,Subject,deleted_position,term,dfbetas,abs_dfbetas
left_main,409,236130,59,c_ICV,-0.0065880218807609185,0.0065880218807609185
left_main,409,236130,59,c_left_hpc_vs,0.011191012623696091,0.011191012623696091
left_main,410,203923,60,c_ICV,-0.026619488801693295,0.026619488801693295
left_main,410,203923,60,c_left_hpc_vs,0.08194110144591095,0.08194110144591095
left_main,411,657659,61,c_ICV,-0.016055600458849833,0.016055600458849833
left_main,411,657659,61,c_left_hpc_vs,-0.04469976963242511,0.04469976963242511
left_main,412,445543,62,c_ICV,0.028040970503212654,0.028040970503212654
left_main,412,445543,62,c_left_hpc_vs,0.0868820153603816,0.0868820153603816
left_main,413,141119,63,c_ICV,-0.002664187630300079,0.002664187630300079
left_main,413,141119,63,c_left_hpc_vs,0.07918143098448341,0.07918143098448341
left_main,414,104012,64,c_ICV,0.2021290350215119,0.2021290350215119
left_main,414,104012,64,c_left_hpc_vs,0.08214686893574631,0.08214686893574631
left_main,415,214726,65,c_ICV,-0.033133615375101205,0.033133615375101205
left_main,415,214726,65,c_left_hpc_vs,0.029452196616061074,0.029452196616061074
left_main,416,751550,66,c_ICV,0.009479292647009481,0.009479292647009481
left_main,416,751550,66,c_left_hpc_vs,-0.054914585042193424,0.054914585042193424
left_main,417,782561,67,c_ICV,-0.017211322633182757,0.017211322633182757
left_main,417,782561,67,c_left_hpc_vs,-0.05133419360398107,0.05133419360398107
left_main,418,932554,68,c_ICV,-0.03911834015801555,0.03911834015801555
left_main,418,932554,68,c_left_hpc_vs,0.07508550036131997,0.07508550036131997
left_main,419,146937,69,c_ICV,0.021824108703685705,0.021824108703685705
left_main,419,146937,69,c_left_hpc_vs,0.02713289075019505,0.02713289075019505
left_main,420,587664,70,c_ICV,0.0486691251060192,0.0486691251060192
left_main,420,587664,70,c_left_hpc_vs,0.07583261526717425,0.07583261526717425
left_main,421,134829,71,c_ICV,-0.013504426255518764,0.013504426255518764
left_main,421,134829,71,c_left_hpc_vs,0.05098587422554052,0.05098587422554052
left_main,422,286650,72,c_ICV,0.08506540866673154,0.08506540866673154
left_main,422,286650,72,c_left_hpc_vs,-0.0668262980245834,0.0668262980245834
left_main,423,199655,73,c_ICV,-0.04058773898252872,0.04058773898252872
left_main,423,199655,73,c_left_hpc_vs,0.0796157558379839,0.0796157558379839
left_main,424,467351,74,c_ICV,-0.01032824495833346,0.01032824495833346
left_main,424,467351,74,c_left_hpc_vs,0.0017227420832550981,0.0017227420832550981
left_main,425,365343,75,c_ICV,-0.00662005078001267,0.00662005078001267
left_main,425,365343,75,c_left_hpc_vs,0.008932679102855137,0.008932679102855137
left_main,426,155938,76,c_ICV,0.07289065847941016,0.07289065847941016
left_main,426,155938,76,c_left_hpc_vs,-0.03915387309372278,0.03915387309372278
left_main,427,174841,77,c_ICV,-0.009004777034130121,0.009004777034130121
left_main,427,174841,77,c_left_hpc_vs,-0.004105968692156531,0.004105968692156531
left_main,428,124826,78,c_ICV,0.019288324942131767,0.019288324942131767
left_main,428,124826,78,c_left_hpc_vs,-0.056397589665344555,0.056397589665344555
left_main,429,597869,79,c_ICV,-0.0024931385635959765,0.0024931385635959765
left_main,429,597869,79,c_left_hpc_vs,-0.011758694109289109,0.011758694109289109
left_main,430,103818,80,c_ICV,-0.020772224614959447,0.020772224614959447
left_main,430,103818,80,c_left_hpc_vs,-0.04698529388466005,0.04698529388466005
left_main,431,275645,81,c_ICV,0.028714362497139212,0.028714362497139212
left_main,431,275645,81,c_left_hpc_vs,0.04414117141958302,0.04414117141958302
left_main,432,852455,82,c_ICV,-0.04744237344910004,0.04744237344910004
left_main,432,852455,82,c_left_hpc_vs,-0.03595998886816803,0.03595998886816803
left_main,433,107018,83,c_ICV,0.0018355698653247155,0.0018355698653247155
left_main,433,107018,83,c_left_hpc_vs,0.012706559855455586,0.012706559855455586
left_main,434,130821,84,c_ICV,-0.03890730645086515,0.03890730645086515
left_main,434,130821,84,c_left_hpc_vs,-0.03524137558044515,0.03524137558044515
left_main,435,663755,85,c_ICV,-0.031324001845284284,0.031324001845284284
left_main,435,663755,85,c_left_hpc_vs,0.02786280170059704,0.02786280170059704
left_main,436,700634,86,c_ICV,-0.11285384213361262,0.11285384213361262
left_main,436,700634,86,c_left_hpc_vs,0.06350464867541435,0.06350464867541435
left_main,437,245333,87,c_ICV,-0.037459912717209866,0.037459912717209866
left_main,437,245333,87,c_left_hpc_vs,-0.040497577549075285,0.040497577549075285
left_main,438,397861,88,c_ICV,0.03913284118293947,0.03913284118293947
left_main,438,397861,88,c_left_hpc_vs,-0.05785426533394144,0.05785426533394144
left_main,439,751348,89,c_ICV,-0.033113196922249254,0.033113196922249254
left_main,439,751348,89,c_left_hpc_vs,0.026663632162572143,0.026663632162572143
left_main,440,163331,90,c_ICV,-0.05806731849435552,0.05806731849435552
left_main,440,163331,90,c_left_hpc_vs,-0.034149527597495496,0.034149527597495496
left_main,442,116726,91,c_ICV,0.0010125444533240222,0.0010125444533240222
left_main,442,116726,91,c_left_hpc_vs,0.06610177099060932,0.06610177099060932
left_main,443,135932,92,c_ICV,-0.008466759214392841,0.008466759214392841
