model,row_id,Subject,deleted_position,term,dfbetas,abs_dfbetas
left_interaction,674,173940,308,c_ICV,-0.004105104036088042,0.004105104036088042
left_interaction,674,173940,308,c_left_hpc_vs,-0.003849101950485646,0.003849101950485646
left_interaction,674,173940,308,Sex1,-0.002904511815871959,0.002904511815871959
left_interaction,674,173940,308,c_left_hpc_vs:Sex1,-0.00140710102770703,0.00140710102770703
left_interaction,675,358144,309,c_ICV,-0.012603858778179952,0.012603858778179952
left_interaction,675,358144,309,c_left_hpc_vs,-0.0029555329978266263,0.0029555329978266263
left_interaction,675,358144,309,Sex1,-0.0032969319642097397,0.0032969319642097397
left_interaction,675,358144,309,c_left_hpc_vs:Sex1,-4.736301820754929e-4,4.736301820754929e-4
left_interaction,676,163836,310,c_ICV,-0.09701806883994622,0.09701806883994622
left_interaction,676,163836,310,c_left_hpc_vs,-0.0028550831528815746,0.0028550831528815746
left_interaction,676,163836,310,Sex1,-0.03979734591829828,0.03979734591829828
left_interaction,676,163836,310,c_left_hpc_vs:Sex1,-0.0029164480251075374,0.0029164480251075374
left_interaction,677,113215,311,c_ICV,-0.06726762645285718,0.06726762645285718
left_interaction,677,113215,311,c_left_hpc_vs,-0.006281279602753898,0.006281279602753898
left_interaction,677,113215,311,Sex1,-0.06541413630324361,0.06541413630324361
left_interaction,677,113215,311,c_left_hpc_vs:Sex1,-0.0036637297629098886,0.0036637297629098886
left_interaction,678,843151,312,c_ICV,-0.01552362400284323,0.01552362400284323
left_interaction,678,843151,312,c_left_hpc_vs,-0.0015985784648840276,0.0015985784648840276
left_interaction,678,843151,312,Sex1,0.006820165704321591,0.006820165704321591
left_interaction,678,843151,312,c_left_hpc_vs:Sex1,0.0015656744911003498,0.0015656744911003498
left_interaction,679,572045,313,c_ICV,-0.004272605105347953,0.004272605105347953
left_interaction,679,572045,313,c_left_hpc_vs,-0.0022796357096567265,0.0022796357096567265
left_interaction,679,572045,313,Sex1,-0.003445746574962098,0.003445746574962098
left_interaction,679,572045,313,c_left_hpc_vs:Sex1,1.663170942731365e-4,1.663170942731365e-4
left_interaction,680,191033,314,c_ICV,0.039237383719524836,0.039237383719524836
left_interaction,680,191033,314,c_left_hpc_vs,0.005061910213186679,0.005061910213186679
left_interaction,680,191033,314,Sex1,0.05163312976263791,0.05163312976263791
left_interaction,680,191033,314,c_left_hpc_vs:Sex1,0.0038593764733512843,0.0038593764733512843
left_interaction,681,162935,315,c_ICV,-0.0028020978150451316,0.0028020978150451316
left_interaction,681,162935,315,c_left_hpc_vs,-0.0028118345339380227,0.0028118345339380227
left_interaction,681,162935,315,Sex1,0.01942389265383911,0.01942389265383911
left_interaction,681,162935,315,c_left_hpc_vs:Sex1,0.002389474390664563,0.002389474390664563
left_interaction,682,148133,316,c_ICV,-3.1859307872671546e-4,3.1859307872671546e-4
left_interaction,682,148133,316,c_left_hpc_vs,-0.006403898736524754,0.006403898736524754
left_interaction,682,148133,316,Sex1,-0.028459504923314824,0.028459504923314824
left_interaction,682,148133,316,c_left_hpc_vs:Sex1,-0.004455113955495562,0.004455113955495562
left_interaction,683,524135,317,c_ICV,-0.06693280555780262,0.06693280555780262
left_interaction,683,524135,317,c_left_hpc_vs,0.007336253104793758,0.007336253104793758
left_interaction,683,524135,317,Sex1,-0.09731749907801904,0.09731749907801904
left_interaction,683,524135,317,c_left_hpc_vs:Sex1,-0.002521735798410804,0.002521735798410804
left_interaction,684,841349,318,c_ICV,-0.004966307318827226,0.004966307318827226
left_interaction,684,841349,318,c_left_hpc_vs,-0.004198624833513229,0.004198624833513229
left_interaction,684,841349,318,Sex1,-0.0030956286217188526,0.0030956286217188526
left_interaction,684,841349,318,c_left_hpc_vs:Sex1,-0.0017484707656115312,0.0017484707656115312
left_interaction,685,871964,319,c_ICV,-0.011276705082726777,0.011276705082726777
